1809260002,7L1RLL 68b1e3af5f,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC c11b6d3748,DL4DTL 309ea008df,EA8BVP1 02e91e207f,EA8BVP2 6286bfee04,F6BAZ 3f4737b88f,G0MQW1 174619389b,G0MQW2 c4b16efc5d,G0MQW3 6a1edc2691,G3VYZ1 8928a0c209,G3VYZ2 025fb0e790,G3VYZ3 c1f36a8886,G3YXM-600m 42b2ca0f50,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 73dbcf06a9,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 0ebeba9e58,LA5GOA af1a734474,N2NXZ 898a344b66,OK1FCX 806ac586ec,ON4CDJ ca4e732d84,PA2OHH-30m 10db503170,PA2OHH-40m 9e60132647,S52AS eb6912e00f,SA6BSS1 e5976eb70c,SA6BSS2 a626e1c1b8,SA6BSS3 0f8fb05d61,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC a19ca38e5c,VK3EDW f4b3d214f6,VK2DDI 895372d28b,VE7IGH ae3bd544e5,WD4AH 29b1a9b2cd,WD4ELG-20 501f613abd,WD4ELG-30 79e21d4058,WD4ELG-40 f7e5493043,WD4ELG-80 521a54b2ee,WD4ELG-160 182e50dbd6,W4HBK1 307da7ba03,W4HBK2 4c8251e969,WA5DJJ-10m a5e8671525,WA5DJJ-12m a3d8318e23,WA5DJJ-15m 62bfe9b63a,WA5DJJ-17m 11507e7aa0,WA5DJJ-20m d86b685886,WA5DJJ-30m d002f8f11b,WA5DJJ-40m 464cc7692a,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 8787721cb5,WA5DJJ-160m e4030d933b,WA5DJJ-630m 008a6a7382,ZL2IK1 83e6ba051a,ZL2IK2 5522b9cdc3
1809260012,7L1RLL c696c5400f,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP d41d8cd98f,DK7FC 8f4de5c6ec,DL4DTL 61cd2c18d7,EA8BVP1 0aeadff15e,EA8BVP2 6286bfee04,F6BAZ 3f4737b88f,G0MQW1 3dd524903b,G0MQW2 b85a180a7f,G0MQW3 6a1edc2691,G3VYZ1 d278f5ec5e,G3VYZ2 77d631c491,G3VYZ3 7347832b6e,G3YXM-600m 01114694e2,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 3d5c8b147d,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 40eefe38bc,LA5GOA af1a734474,N2NXZ 898a344b66,OK1FCX 78f2615eb1,ON4CDJ ca4e732d84,PA2OHH-30m 10db503170,PA2OHH-40m 9e60132647,S52AS eb6912e00f,SA6BSS1 30480a8c7c,SA6BSS2 95ba32d24b,SA6BSS3 267c71b78b,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 689b4804bd,VK3EDW 88b04ad12f,VK2DDI 895372d28b,VE7IGH 63c7745cc5,WD4AH 1ae9f80dbd,WD4ELG-20 046eee5901,WD4ELG-30 eeab623f4b,WD4ELG-40 1496b3035a,WD4ELG-80 57a285f6b1,WD4ELG-160 6c846a140a,W4HBK1 0deeb58c7e,W4HBK2 4c8251e969,WA5DJJ-10m a5e8671525,WA5DJJ-12m a3d8318e23,WA5DJJ-15m 62bfe9b63a,WA5DJJ-17m 11507e7aa0,WA5DJJ-20m d86b685886,WA5DJJ-30m d002f8f11b,WA5DJJ-40m ab0c867221,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 53f5f523f0,WA5DJJ-160m d7110e19cc,WA5DJJ-630m 9dff212c61,ZL2IK1 19cec91396,ZL2IK2 5522b9cdc3
1809260022,7L1RLL edddf06f25,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC ec55da3839,DL4DTL 60019aa332,EA8BVP1 9907e4d0fb,EA8BVP2 6286bfee04,F6BAZ 3f4737b88f,G0MQW1 2b8995f503,G0MQW2 1ffe01117b,G0MQW3 6a1edc2691,G3VYZ1 d925b81f83,G3VYZ2 9dc8f75c54,G3VYZ3 fb7f0ede41,G3YXM-600m c4c85f0254,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 97ad51c57f,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L c88d33ca30,LA5GOA 020d5c4ca3,N2NXZ 898a344b66,OK1FCX 1537f6a97c,ON4CDJ a0f4a88ee7,PA2OHH-30m 10db503170,PA2OHH-40m 9e60132647,S52AS 3ab0081b83,SA6BSS1 42f435d245,SA6BSS2 dac181fdb6,SA6BSS3 13876c26e0,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 6818fde10d,VK3EDW 4809c8a96f,VK2DDI 895372d28b,VE7IGH 63c7745cc5,WD4AH 31c42a8cc3,WD4ELG-20 c5a91466ea,WD4ELG-30 ad1af7b700,WD4ELG-40 76fb9058f1,WD4ELG-80 436967ffdf,WD4ELG-160 03599b37ac,W4HBK1 06b146c46b,W4HBK2 4c8251e969,WA5DJJ-10m a3e26ceb19,WA5DJJ-12m c276a55415,WA5DJJ-15m c005ac94c6,WA5DJJ-17m 92d63bd6d2,WA5DJJ-20m 9173c4524f,WA5DJJ-30m 2c3d00a6d8,WA5DJJ-40m ab0c867221,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 53f5f523f0,WA5DJJ-160m d7110e19cc,WA5DJJ-630m 9dff212c61,ZL2IK1 38f7a34605,ZL2IK2 5522b9cdc3
1809260402,7L1RLL 3fca649b36,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC b4401b69b0,DL4DTL ddd833c153,EA8BVP1 e806dd357c,EA8BVP2 5e9115ac31,F6BAZ 3f4737b88f,G0MQW1 9823f5d531,G0MQW2 d9bc0f700e,G0MQW3 6a1edc2691,G3VYZ1 6ff34adffb,G3VYZ2 761c3eaa2a,G3VYZ3 9c825bbd7b,G3YXM-600m a5acade952,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L ecc6214847,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ 1a4250770d,OK1FCX de6fdc64e3,ON4CDJ 2df4b7532e,PA2OHH-30m 10db503170,PA2OHH-40m 89c44c21ec,S52AS 9d70b5b7f5,SA6BSS1 83c67e2b9a,SA6BSS2 bc2c48dcfd,SA6BSS3 5f4fa5dd7f,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 2a87899996,VK3EDW 257c14b1b2,VK2DDI 895372d28b,VE7IGH 49d2dd8de0,WD4AH 440e9fad31,WD4ELG-20 2e786625e4,WD4ELG-30 ccca30d949,WD4ELG-40 2c10fb251b,WD4ELG-80 a561750def,WD4ELG-160 1ac18dc1d2,W4HBK1 4e18ded573,W4HBK2 b4361470db,WA5DJJ-10m db26389e17,WA5DJJ-12m 5303c550a6,WA5DJJ-15m 0e3a3a5568,WA5DJJ-17m dea833ea9d,WA5DJJ-20m cdbb36fc92,WA5DJJ-30m 7bc33cffb7,WA5DJJ-40m e8b80bfbf2,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 268c05e14a,WA5DJJ-160m 74eaa8ab2f,WA5DJJ-630m 7c116f4cec,ZL2IK1 02e42fc96d,ZL2IK2 138ac57056
1809260412,7L1RLL cb51ca056a,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC 5ba36bd420,DL4DTL 60bda2d79b,EA8BVP1 b71b2cf3b5,EA8BVP2 5e9115ac31,F6BAZ 3f4737b88f,G0MQW1 5134e699c5,G0MQW2 91c133818b,G0MQW3 6a1edc2691,G3VYZ1 dba49ee840,G3VYZ2 7560ae3572,G3VYZ3 607de268ae,G3YXM-600m d3a0ebb6e4,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L c542c5dd78,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ 8eb284ffeb,OK1FCX 6426e7a0cb,ON4CDJ 2df4b7532e,PA2OHH-30m 10db503170,PA2OHH-40m 89c44c21ec,S52AS 9d70b5b7f5,SA6BSS1 119e1fd445,SA6BSS2 e79b9e4f03,SA6BSS3 25c1af99ed,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC a38cfb10d4,VK3EDW a3c0d2ca59,VK2DDI 895372d28b,VE7IGH 49d2dd8de0,WD4AH 62b93cb4d9,WD4ELG-20 e89ac4b658,WD4ELG-30 a2b6d338ba,WD4ELG-40 eeb2747b52,WD4ELG-80 7760ae80ca,WD4ELG-160 e520e9b9a1,W4HBK1 930fedff94,W4HBK2 b4361470db,WA5DJJ-10m db26389e17,WA5DJJ-12m 5303c550a6,WA5DJJ-15m 0e3a3a5568,WA5DJJ-17m dea833ea9d,WA5DJJ-20m cdbb36fc92,WA5DJJ-30m 7bc33cffb7,WA5DJJ-40m a351c8aa85,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 32013de5fa,WA5DJJ-160m b43c6a2c44,WA5DJJ-630m 085f82552d,ZL2IK1 14da7544d8,ZL2IK2 138ac57056
1809260422,7L1RLL 9d1de027d6,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC b29b207786,DL4DTL b4612f0657,EA8BVP1 72761b5238,EA8BVP2 5e9115ac31,F6BAZ 3f4737b88f,G0MQW1 3e28057c9f,G0MQW2 64da6b8ccd,G0MQW3 6a1edc2691,G3VYZ1 0e7d6935bb,G3VYZ2 7c7fb8b117,G3VYZ3 343bef8c49,G3YXM-600m 9a5f449fa9,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 46caa5d1db,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ 3a660789a5,OK1FCX 049ddace2a,ON4CDJ e83d2a34a5,PA2OHH-30m 10db503170,PA2OHH-40m 89c44c21ec,S52AS 9d70b5b7f5,SA6BSS1 7aceb09d14,SA6BSS2 4c1a0c1b39,SA6BSS3 f3c6c4be0c,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC f3180a03ab,VK3EDW 31622b6e4d,VK2DDI 895372d28b,VE7IGH 49d2dd8de0,WD4AH f94675ca2a,WD4ELG-20 1703863fc2,WD4ELG-30 ebc98f0e03,WD4ELG-40 35f09716ef,WD4ELG-80 f41775234b,WD4ELG-160 00df5c9c8b,W4HBK1 d07e186cf8,W4HBK2 b4361470db,WA5DJJ-10m 2d9487eb08,WA5DJJ-12m a57d1192a9,WA5DJJ-15m d6cb352f48,WA5DJJ-17m 4598cf7a88,WA5DJJ-20m f3b6f25937,WA5DJJ-30m f40a17e65a,WA5DJJ-40m a351c8aa85,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 32013de5fa,WA5DJJ-160m b43c6a2c44,WA5DJJ-630m 085f82552d,ZL2IK1 da2f5fa50f,ZL2IK2 138ac57056
1809260432,7L1RLL 26d81cde97,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC 18fc88d8de,DL4DTL bc7e1f7487,EA8BVP1 b568c6831e,EA8BVP2 c9cb714db5,F6BAZ 3f4737b88f,G0MQW1 6d07477ee7,G0MQW2 115ea7cbf8,G0MQW3 6a1edc2691,G3VYZ1 8817d0a4e6,G3VYZ2 e4f3a63c40,G3VYZ3 c34c46b4e3,G3YXM-600m 4fc722dbfe,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L bbf5cb7f00,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ e1f09cb6f1,OK1FCX 002d74c7f0,ON4CDJ e83d2a34a5,PA2OHH-30m 10db503170,PA2OHH-40m 89c44c21ec,S52AS 9d70b5b7f5,SA6BSS1 249ea4c742,SA6BSS2 b89828e3bc,SA6BSS3 0de155246f,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 0124e88b06,VK3EDW 431fa8f488,VK2DDI d41d8cd98f,VE7IGH 49d2dd8de0,WD4AH c40b0c318a,WD4ELG-20 a9a48ac78a,WD4ELG-30 5f10c448f1,WD4ELG-40 1637dc068a,WD4ELG-80 16a3723257,WD4ELG-160 8e39b9fa92,W4HBK1 66f8496e36,W4HBK2 113b10e7d1,WA5DJJ-10m 2d9487eb08,WA5DJJ-12m a57d1192a9,WA5DJJ-15m d6cb352f48,WA5DJJ-17m 4598cf7a88,WA5DJJ-20m f3b6f25937,WA5DJJ-30m f40a17e65a,WA5DJJ-40m 5735a0d608,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 566876f68b,WA5DJJ-160m d0097d8f19,WA5DJJ-630m a7d04ebd8c,ZL2IK1 06632d11d7,ZL2IK2 bed15ed462
1809260442,7L1RLL 83038e91a3,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC e963bf4650,DL4DTL 15dcea7bc2,EA8BVP1 22f6017663,EA8BVP2 c9cb714db5,F6BAZ 3f4737b88f,G0MQW1 fb25b25d8f,G0MQW2 d41d8cd98f,G0MQW3 6a1edc2691,G3VYZ1 f2e4ee2f7c,G3VYZ2 c126427c07,G3VYZ3 aa0579b5c8,G3YXM-600m 34295570a6,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 9e83c68404,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ e4eedea0bd,OK1FCX 498850e3c3,ON4CDJ e51dd081bd,PA2OHH-30m 10db503170,PA2OHH-40m 89c44c21ec,S52AS 9d70b5b7f5,SA6BSS1 4ccfce1b73,SA6BSS2 758ee194e3,SA6BSS3 284e1cc76d,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC a7cb3e436e,VK3EDW 59144598e6,VK2DDI 895372d28b,VE7IGH 49d2dd8de0,WD4AH 436bb0c69f,WD4ELG-20 cfe44f63a3,WD4ELG-30 68424895b4,WD4ELG-40 f463806c0d,WD4ELG-80 373bde6246,WD4ELG-160 28dc2e85af,W4HBK1 e773326728,W4HBK2 113b10e7d1,WA5DJJ-10m 778dc6341e,WA5DJJ-12m 2b6916f89b,WA5DJJ-15m dc0d6cc443,WA5DJJ-17m 82910cc630,WA5DJJ-20m d6bfa4f71b,WA5DJJ-30m 63155fd5f0,WA5DJJ-40m 5735a0d608,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 566876f68b,WA5DJJ-160m d0097d8f19,WA5DJJ-630m a7d04ebd8c,ZL2IK1 37fb9b36bd,ZL2IK2 bed15ed462
1809260452,7L1RLL f729c0f04a,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC e8211e0659,DL4DTL f98d41e442,EA8BVP1 329e9bfc60,EA8BVP2 c9cb714db5,F6BAZ 3f4737b88f,G0MQW1 5f3cb5a7a2,G0MQW2 6b549a46db,G0MQW3 6a1edc2691,G3VYZ1 0f9d0d990c,G3VYZ2 53708dda59,G3VYZ3 e94b61d43d,G3YXM-600m c23c4e44e2,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 7964bcd412,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ 3024ff63cd,OK1FCX 5262130e58,ON4CDJ e51dd081bd,PA2OHH-30m 10db503170,PA2OHH-40m 32f7da07c3,S52AS 9d70b5b7f5,SA6BSS1 28bea6131c,SA6BSS2 5ece0b890f,SA6BSS3 7422026b44,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 260f846aae,VK3EDW 9d079b45fd,VK2DDI 895372d28b,VE7IGH 2504759c5c,WD4AH 1a82db5f67,WD4ELG-20 0996771c45,WD4ELG-30 3279b2abcf,WD4ELG-40 d706077067,WD4ELG-80 43a62e15e2,WD4ELG-160 6bcb278c02,W4HBK1 ecab3838a3,W4HBK2 113b10e7d1,WA5DJJ-10m 778dc6341e,WA5DJJ-12m 2b6916f89b,WA5DJJ-15m dc0d6cc443,WA5DJJ-17m 82910cc630,WA5DJJ-20m d6bfa4f71b,WA5DJJ-30m 63155fd5f0,WA5DJJ-40m 2907721318,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 9144df04ab,WA5DJJ-160m 2e04ea5bf2,WA5DJJ-630m 376bf60550,ZL2IK1 1a61678acf,ZL2IK2 bed15ed462
1809260502,7L1RLL c350fd9bd3,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC 71cc6d9b32,DL4DTL 165ab72a24,EA8BVP1 4aa0833192,EA8BVP2 bb72fe1621,F6BAZ 3f4737b88f,G0MQW1 140278bbbb,G0MQW2 ccf9091de1,G0MQW3 6a1edc2691,G3VYZ1 4db033c78e,G3VYZ2 46a870e593,G3VYZ3 6a944ceb7d,G3YXM-600m c10e703f00,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 958306c28c,LA5GOA d41d8cd98f,N2NXZ 898a344b66,N8NJ 3cdabb8495,OK1FCX 10ba503fd5,ON4CDJ 47642ae658,PA2OHH-30m 10db503170,PA2OHH-40m 32f7da07c3,S52AS 9d70b5b7f5,SA6BSS1 f12d515a1b,SA6BSS2 ab5d9ffe02,SA6BSS3 9fd3d95285,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 032b1d6df2,VK3EDW 261895f4d9,VK2DDI 895372d28b,VE7IGH 2504759c5c,WD4AH 0873487347,WD4ELG-20 1038ba6d7e,WD4ELG-30 4af1cf8ce1,WD4ELG-40 dd09847204,WD4ELG-80 0ed1a1b993,WD4ELG-160 228710fe02,W4HBK1 163d029f3b,W4HBK2 1d3c2398d2,WA5DJJ-10m 778dc6341e,WA5DJJ-12m d26f5c99bc,WA5DJJ-15m ed12f4ca78,WA5DJJ-17m 82910cc630,WA5DJJ-20m d6bfa4f71b,WA5DJJ-30m d9fc50c670,WA5DJJ-40m 2907721318,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 9144df04ab,WA5DJJ-160m 2e04ea5bf2,WA5DJJ-630m 376bf60550,ZL2IK1 72cffe1367,ZL2IK2 56b6b297a6
1809260512,7L1RLL b7c736700e,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC 043be53045,DL4DTL 8af09750cf,EA8BVP1 cde4cf2b19,EA8BVP2 bb72fe1621,F6BAZ 3f4737b88f,G0MQW1 7dfcb48532,G0MQW2 73a7280147,G0MQW3 6a1edc2691,G3VYZ1 8dd6a61f18,G3VYZ2 172d463d51,G3VYZ3 eb20642b63,G3YXM-600m 96066a5b72,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 4b29de92f4,LA5GOA 1934cee359,N2NXZ 898a344b66,N8NJ b45d5a4353,OK1FCX 4d671fc736,ON4CDJ 47642ae658,PA2OHH-30m 10db503170,PA2OHH-40m 32f7da07c3,S52AS 9d70b5b7f5,SA6BSS1 da5a241cad,SA6BSS2 c4362f6241,SA6BSS3 4796d5a488,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC d7606b9cbb,VK3EDW cc8fe841f9,VK2DDI 895372d28b,VE7IGH 2504759c5c,WD4AH 9cec72bc64,WD4ELG-20 bc0aba4289,WD4ELG-30 0a32235711,WD4ELG-40 1edcc3c09c,WD4ELG-80 418f64d212,WD4ELG-160 19781f6b4e,W4HBK1 e9700527c4,W4HBK2 1d3c2398d2,WA5DJJ-10m 778dc6341e,WA5DJJ-12m d26f5c99bc,WA5DJJ-15m ed12f4ca78,WA5DJJ-17m 82910cc630,WA5DJJ-20m d6bfa4f71b,WA5DJJ-30m d9fc50c670,WA5DJJ-40m bec1e6c9d5,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 3ba589f4ab,WA5DJJ-160m e3cfa38178,WA5DJJ-630m 1778438dfe,ZL2IK1 7b028859af,ZL2IK2 56b6b297a6
1809260522,7L1RLL 555f8a526b,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC 01b64e52b3,DL4DTL 0e4d9fd7a2,EA8BVP1 5587762f33,EA8BVP2 bb72fe1621,F6BAZ 3f4737b88f,G0MQW1 050756c665,G0MQW2 954fc55d52,G0MQW3 6a1edc2691,G3VYZ1 e7e0684b01,G3VYZ2 61ba996814,G3VYZ3 c9c9224ade,G3YXM-600m 9a0a5218ab,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 38c97c1a19,LA5GOA 1934cee359,N2NXZ 898a344b66,N8NJ 605a991817,OK1FCX 46858a77cb,ON4CDJ 4feef446d3,PA2OHH-30m 10db503170,PA2OHH-40m 32f7da07c3,S52AS 9d70b5b7f5,SA6BSS1 8cee360100,SA6BSS2 7df98911d1,SA6BSS3 78b5a71491,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 59697a4166,VK3EDW e8355d1c80,VK2DDI 895372d28b,VE7IGH 2504759c5c,WD4AH 84e5e6ae26,WD4ELG-20 5cd4292f15,WD4ELG-30 5b8900efc5,WD4ELG-40 8d8b249649,WD4ELG-80 0d33890491,WD4ELG-160 f4bd6fda4e,W4HBK1 ce4db932c7,W4HBK2 1d3c2398d2,WA5DJJ-10m e16122714c,WA5DJJ-12m 934a5a027d,WA5DJJ-15m 47de6702a2,WA5DJJ-17m 2a6b28024d,WA5DJJ-20m da9d3d993c,WA5DJJ-30m 4a8c11d1fd,WA5DJJ-40m bec1e6c9d5,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 3ba589f4ab,WA5DJJ-160m e3cfa38178,WA5DJJ-630m 1778438dfe,ZL2IK1 338f1760c1,ZL2IK2 56b6b297a6
1809260532,7L1RLL f24ef6bb62,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC 2f5309f8c2,DL4DTL 3aafa604cf,EA8BVP1 a9d51ffda4,EA8BVP2 b2410ed523,F6BAZ 3f4737b88f,G0MQW1 b5742be389,G0MQW2 cc82c2f5b9,G0MQW3 6a1edc2691,G3VYZ1 653e7c841c,G3VYZ2 b36f41aaf8,G3VYZ3 271309a54f,G3YXM-600m 130d409433,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L 0b7a5aef28,LA5GOA 80660ff71e,N2NXZ 898a344b66,N8NJ 7f28e26858,OK1FCX 46858a77cb,ON4CDJ 4feef446d3,PA2OHH-30m 10db503170,PA2OHH-40m 32f7da07c3,S52AS 9d70b5b7f5,SA6BSS1 71ac760614,SA6BSS2 4d3e996cd7,SA6BSS3 7f80e59dfc,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 2c53ffb772,VK3EDW e48c0d500c,VK2DDI 895372d28b,VE7IGH 2504759c5c,WD4AH 8a85d8c892,WD4ELG-20 c62992b5b6,WD4ELG-30 e726d7f27d,WD4ELG-40 285d6a8104,WD4ELG-80 55c0ab6f96,WD4ELG-160 3f7882147a,W4HBK1 b9a6f4dc47,W4HBK2 805fde2845,WA5DJJ-10m e16122714c,WA5DJJ-12m 934a5a027d,WA5DJJ-15m 47de6702a2,WA5DJJ-17m 2a6b28024d,WA5DJJ-20m da9d3d993c,WA5DJJ-30m 4a8c11d1fd,WA5DJJ-40m 4d39b9a0a5,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 25226c3f84,WA5DJJ-160m d71034cf7d,WA5DJJ-630m 08e30bb44d,ZL2IK1 ea344a7cc6,ZL2IK2 6722dfbc1c
1809260542,7L1RLL a3108be3ec,AA7US 423509cfdc,CT2IWW 72e7374cdf,DF2JP bfcd28fe6b,DK7FC 240127ac35,DL4DTL ebaf1c53ee,EA8BVP1 c3c095ade3,EA8BVP2 b2410ed523,F6BAZ 3f4737b88f,G0MQW1 68fbdf0cfa,G0MQW2 69f50c2cce,G0MQW3 6a1edc2691,G3VYZ1 d64f431cca,G3VYZ2 63fd7ef023,G3VYZ3 3fd40c9bc1,G3YXM-600m a136f47223,G3ZJO db050902af,G4IOG-1 f839cc3e4e,G4IOG-2 fa66de9be5,G4JVF 66933c3f0b,G6AVK 174c3d9af3,G6NHU 4ed74f7368,GJ7RWT 2832917c86,KL7L fadb265ac2,LA5GOA 80660ff71e,N2NXZ 898a344b66,N8NJ 9ac5dacf3d,OK1FCX 352bbedff6,ON4CDJ 84daf6ded3,PA2OHH-30m 10db503170,PA2OHH-40m 32f7da07c3,S52AS 9d70b5b7f5,SA6BSS1 a67d64b34f,SA6BSS2 4719eebfb7,SA6BSS3 868edcabd0,VA3ROM d41d8cd98f,VE1VDM fe7f63420a,VE3GTC 75a84d229a,VK3EDW 6c52ec67c1,VK2DDI 895372d28b,VE7IGH 2504759c5c,WD4AH ec5f3bbcd4,WD4ELG-20 b9e5446255,WD4ELG-30 0bdfc5819f,WD4ELG-40 3df24ced38,WD4ELG-80 8fece28778,WD4ELG-160 a9fbb369f5,W4HBK1 6a2938f623,W4HBK2 805fde2845,WA5DJJ-10m 4722c74379,WA5DJJ-12m 34d3c2afea,WA5DJJ-15m 02d34e4aed,WA5DJJ-17m 57a0fd5eec,WA5DJJ-20m d6a5ae14c9,WA5DJJ-30m 2ea3cc5035,WA5DJJ-40m 4d39b9a0a5,WA5DJJ-60m 2514b4e07e,WA5DJJ-80m 25226c3f84,WA5DJJ-160m d71034cf7d,WA5DJJ-630m 08e30bb44d,ZL2IK1 88c29524c3,ZL2IK2 6722dfbc1c
